EMPLOYEE_ID,FIRST_NAME,EMAIL,HIRE_DATE,JOB_ID,SALARY
100,Steven,SKING,06/17/2003 00:00:00,AD_PRES,"24,000"
101,Neena,NKOCHHAR,09/21/2005 00:00:00,AD_VP,"17,000"
102,Lex,LDEHAAN,01/13/2001 00:00:00,AD_VP,"17,000"
103,Alexander,AHUNOLD,01/03/2006 00:00:00,IT_PROG,"9,000"
104,Bruce,BERNST,05/21/2007 00:00:00,IT_PROG,"6,000"
105,David,DAUSTIN,06/25/2005 00:00:00,IT_PROG,"4,800"
106,Valli,VPATABAL,02/05/2006 00:00:00,IT_PROG,"4,800"
107,Diana,DLORENTZ,02/07/2007 00:00:00,IT_PROG,"4,200"
108,Nancy,NGREENBE,08/17/2002 00:00:00,FI_MGR,"12,008"
109,Daniel,DFAVIET,08/16/2002 00:00:00,FI_ACCOUNT,"9,000"
110,John,JCHEN,09/28/2005 00:00:00,FI_ACCOUNT,"8,200"
111,Ismael,ISCIARRA,09/30/2005 00:00:00,FI_ACCOUNT,"7,700"
112,Jose Manuel,JMURMAN,03/07/2006 00:00:00,FI_ACCOUNT,"7,800"
113,Luis,LPOPP,12/07/2007 00:00:00,FI_ACCOUNT,"6,900"
114,Den,DRAPHEAL,12/07/2002 00:00:00,PU_MAN,"11,000"
115,Alexander,AKHOO,05/18/2003 00:00:00,PU_CLERK,"3,100"
116,Shelli,SBAIDA,12/24/2005 00:00:00,PU_CLERK,"2,900"
117,Sigal,STOBIAS,07/24/2005 00:00:00,PU_CLERK,"2,800"
118,Guy,GHIMURO,11/15/2006 00:00:00,PU_CLERK,"2,600"
